Elements,Random,Hard,Easy
86600,40148,33918,35149
86700,40995,35398,35275
86800,40202,34009,34954
86900,40112,34788,35604
87000,40949,34871,35963
87100,40445,34996,35252
87200,40396,34130,34972
87300,41274,35068,35804
87400,41238,35214,35983
87500,41404,35182,35678
87600,40590,34803,35081
87700,41460,35285,35984
87800,41653,35288,35937
87900,41513,35661,35634
88000,41866,35236,36104
88100,41727,35923,36297
88200,41779,34485,35351
88300,41112,35592,36421
88400,41888,35302,36238
88500,41714,35735,36123
88600,41017,34541,35868
88700,40821,35707,36447
88800,41308,34611,36320
88900,41747,35514,35933
89000,40972,34901,35661
89100,41987,35698,36361
89200,42289,35482,36144
89300,41113,35518,35871
89400,42495,35980,36610
89500,42380,35924,36278
89600,42111,35168,35787
89700,42339,35709,36230
89800,42642,35766,36671
89900,42462,36040,37069
90000,42588,35992,36766
90100,42574,36183,36992
90200,42695,35922,36722
90300,42654,36241,37250
90400,42160,35025,35934
90500,42574,35929,36683
90600,42830,36016,36871
90700,42618,36523,37194
90800,42997,36240,37065
90900,42822,36066,36345
91000,41744,35732,36521
91100,41757,36511,36385
91200,42128,35257,36160
91300,41718,36339,36727
91400,42362,35424,36297
91500,41860,36744,36726
91600,42079,35904,36651
91700,41965,36520,36951
91800,42433,35590,36328
91900,41972,36542,36705
92000,42236,35974,36916
92100,43406,36806,36760
92200,42236,35515,36561
92300,43253,36751,37174
92400,43449,35739,37262
92500,42522,36864,36848
92600,42471,36282,37232
92700,43430,36832,36915
92800,43549,36122,37049
92900,43642,37091,36975
93000,42680,35950,36753
93100,43597,36864,37472
93200,42816,36159,37510
93300,43833,36948,37090
93400,43864,36741,37463
93500,42996,37123,36859
93600,42782,36582,37903
93700,43668,37704,38436
93800,44654,36889,38121
93900,44277,37181,38194
94000,43721,36743,38006
94100,43999,37108,37450
94200,43348,36444,37535
94300,44062,37391,37510
94400,42970,36342,37194
94500,43170,37870,37618
94600,43268,37118,37737
94700,44453,37467,37540
94800,43421,36477,37616
94900,43662,37519,37634
95000,43043,37027,37932
95100,44305,37386,37620
95200,43362,37307,37862
95300,43490,37886,38183
95400,44092,37356,39423
95500,44658,37693,38264
95600,43800,37306,38628
95700,45305,38094,37914
95800,43511,36916,38032
95900,43897,37993,38799
96000,44895,37879,38806
96100,44618,38317,38565
96200,44444,37683,38947
96300,45113,38190,38988
96400,45068,38042,39011
96500,45076,38127,39043
96600,45019,38221,38590
96700,45175,38657,39202
96800,45092,38068,39570
96900,45441,38350,39344
97000,45050,38329,39030
97100,45664,38553,39471
97200,44912,37778,39253
97300,44348,38593,39198
97400,45599,38115,39215
97500,45620,38552,39467
97600,45415,38660,39427
97700,45669,38896,39586
97800,45652,38479,39369
97900,45603,38646,38606
98000,45556,38028,38981
98100,45217,38800,38545
98200,45645,38677,39579
98300,45939,38856,39636
98400,45747,38489,39562
98500,45767,39122,38853
98600,45706,38414,39177
98700,45854,38824,38876
98800,45925,38435,39312
98900,46003,38930,39975
99000,46170,38876,39783
99100,46218,39023,39017
99200,45907,39012,39726
99300,45141,38952,39782
99400,46216,38887,39747
99500,46428,39107,39785
99600,45496,38665,39543
99700,46415,39046,40096
99800,46292,38978,39922
99900,46605,39492,40333
